티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
002410,범양건영,8849560,8849560,0,36371795265,36371795265,0
382900,범한퓨얼셀,1231608,1231608,0,32553323650,32553323650,0
206400,베노홀딩스,2357827,2357827,0,6427547065,6427547065,0
019010,베뉴지,1268269,1268269,0,2720291400,2720291400,0
322190,베른,549049,549049,0,129785675,129785675,0
177350,베셀,22098413,22098413,0,161362208150,161362208150,0
096300,베트남개발1,519926372,519926372,0,119321341387,119321341387,0
007210,벽산,2757291,2757291,0,5970396570,5970396570,0
225530,보광산업,1191699,1191699,0,7479394750,7479394750,0
250000,보라티알,736708,736708,0,8435125400,8435125400,0
002760,보락,66186110,66186110,0,118737302145,118737302145,0
003850,보령,5479034,5479034,0,56421352890,56421352890,0
310210,보로노이,3991149,3991149,0,124633999700,124633999700,0
006910,보성파워텍,10477523,10477523,0,42446507235,42446507235,0
000890,보해양조,4090637,4090637,0,2632002716,2632002716,0
226340,본느,3610467,3610467,0,6414037095,6414037095,0
206950,볼빅,12626,12626,0,32962650,32962650,0
003000,부광약품,14583664,14583664,0,134043322980,134043322980,0
001270,부국증권,86323,86323,0,1642482350,1642482350,0
001275,부국증권우,30719,30719,0,585203950,585203950,0
026940,부국철강,3733299,3733299,0,13498039885,13498039885,0
014470,부방,40464965,40464965,0,93881334065,93881334065,0
011390,부산산업,137024,137024,0,11355022700,11355022700,0
005030,부산주공,29786657,29786657,0,21198430140,21198430140,0
008470,부스타,308715,308715,0,1565051460,1565051460,0
338220,뷰노,474813,474813,0,3215665500,3215665500,0
100120,뷰웍스,318090,318090,0,9886218200,9886218200,0
337930,브랜드엑스코퍼레이션,960860,960860,0,4944239845,4944239845,0
099390,브레인즈컴퍼니,347717,347717,0,2625519420,2625519420,0
064480,브리지텍,2148688,2148688,0,9241989010,9241989010,0
288330,브릿지바이오테라퓨틱스,1442235,1442235,0,16347353100,16347353100,0
