티커,BPS,PER,PBR,EPS,DIV,DPS
138490,6728,8.45,1.18,939,2.27,180
021240,31887,6.7,1.33,6314,3.07,1300
036420,9617,0.0,1.71,0,0.0,0
031820,1259,3.74,0.6,201,0.0,0
192400,31140,4.09,0.49,3755,5.21,800
284740,31261,4.19,0.69,5118,3.26,700
264900,16001,3.93,0.52,2116,3.0,250
26490K,0,0.0,0.0,0,2.47,252
005740,20510,10.3,0.28,559,1.74,100
005745,0,0.0,0.0,0,1.04,105
259960,108962,14.97,1.47,10666,0.0,0
020120,7338,0.0,0.75,0,0.91,50
039490,183566,5.35,0.52,17919,3.13,3000
014580,6444,8.22,1.08,850,1.86,130
015890,10077,5.63,0.65,1154,4.62,300
006890,12992,18.61,1.12,782,1.37,200
003240,4906107,1.45,0.12,406090,0.3,1750
011280,4948,9.53,0.49,253,2.07,50
004100,3058,0.0,0.62,0,0.26,5
004105,0,0.0,0.0,0,0.3,10
009410,19502,2.43,0.2,1607,5.77,225
009415,0,0.0,0.0,0,3.8,230
001420,4033,0.0,1.3,0,0.95,50
007980,4369,3.55,0.44,548,1.54,30
055490,31365,9.28,1.19,4013,2.42,900
078000,19820,13.75,0.48,688,6.34,600
214420,3871,0.0,1.52,0,0.0,0
019180,4827,0.0,0.69,0,1.5,50
